company,percentage,demographics,job_category
Adobe,1.4,Black_or_African_American,Professionals
View,1.6,Black_or_African_American,Professionals
Apple,1.7,Black_or_African_American,Professionals
Square,1.8,Black_or_African_American,Professionals
Google,1.9,Black_or_African_American,Professionals
LinkedIn,2.1,Black_or_African_American,Professionals
Intuit,2.1,Black_or_African_American,Professionals
Facebook,2.1,Black_or_African_American,Professionals
Uber,2.2,Black_or_African_American,Professionals
Pinterest,2.2,Black_or_African_American,Professionals
Salesforce,2.3,Black_or_African_American,Professionals
Twitter,2.4,Black_or_African_American,Professionals
23andMe,2.4,Black_or_African_American,Professionals
MobileIron,2.5,Black_or_African_American,Professionals
Airbnb,2.7,Black_or_African_American,Professionals
PayPal,3.1,Black_or_African_American,Professionals
HP Inc.,3.2,Black_or_African_American,Professionals
NetApp,3.4,Black_or_African_American,Professionals
Intel,3.4,Black_or_African_American,Professionals
Lyft,3.5,Black_or_African_American,Professionals
Cisco,3.6,Black_or_African_American,Professionals
Sanmina,4.4,Black_or_African_American,Professionals
HPE,6.4,Black_or_African_American,Professionals
HPE,15.2,Asian,Professionals
HP Inc.,16.2,Asian,Professionals
Sanmina,20.3,Asian,Professionals
23andMe,28.4,Asian,Professionals
Lyft,28.6,Asian,Professionals
Square,30.5,Asian,Professionals
NetApp,32.3,Asian,Professionals
Salesforce,33.6,Asian,Professionals
View,34.9,Asian,Professionals
Adobe,35.2,Asian,Professionals
Twitter,36.6,Asian,Professionals
Google,37.8,Asian,Professionals
Airbnb,39.6,Asian,Professionals
Uber,40.8,Asian,Professionals
Intuit,41,Asian,Professionals
Apple,41.5,Asian,Professionals
Cisco,43,Asian,Professionals
Facebook,43.8,Asian,Professionals
Pinterest,43.8,Asian,Professionals
Intel,44.2,Asian,Professionals
LinkedIn,46.5,Asian,Professionals
MobileIron,47.3,Asian,Professionals
PayPal,48.3,Asian,Professionals
Nvidia,54.6,Asian,Professionals
eBay,58,Asian,Professionals
Nvidia,16.4,Female_total,Professionals
View,22.5,Female_total,Professionals
Google,23.8,Female_total,Professionals
NetApp,25,Female_total,Professionals
Apple,25.5,Female_total,Professionals
Cisco,26,Female_total,Professionals
Uber,26.9,Female_total,Professionals
Intel,27.3,Female_total,Professionals
eBay,29.3,Female_total,Professionals
Facebook,29.4,Female_total,Professionals
Adobe,29.5,Female_total,Professionals
Square,29.8,Female_total,Professionals
Twitter,30.3,Female_total,Professionals
Salesforce,32,Female_total,Professionals
PayPal,32.6,Female_total,Professionals
HPE,33,Female_total,Professionals
HP Inc.,33.5,Female_total,Professionals
Sanmina,34.1,Female_total,Professionals
MobileIron,37,Female_total,Professionals
LinkedIn,37.3,Female_total,Professionals
Intuit,37.6,Female_total,Professionals
Lyft,37.6,Female_total,Professionals
Airbnb,39.2,Female_total,Professionals
Pinterest,40.8,Female_total,Professionals
23andMe,42,Female_total,Professionals
Nvidia,4,White_female,Professionals
View,9.3,White_female,Professionals
Intel,9.8,White_female,Professionals
Google,10.3,White_female,Professionals
eBay,10.3,White_female,Professionals
Cisco,10.8,White_female,Professionals
Apple,11.4,White_female,Professionals
MobileIron,11.6,White_female,Professionals
NetApp,11.6,White_female,Professionals
Facebook,12.1,White_female,Professionals
Adobe,13.3,White_female,Professionals
Uber,13.4,White_female,Professionals
PayPal,13.7,White_female,Professionals
Square,15.2,White_female,Professionals
Twitter,15.3,White_female,Professionals
LinkedIn,17.2,White_female,Professionals
Intuit,17.3,White_female,Professionals
Salesforce,18,White_female,Professionals
Airbnb,18.9,White_female,Professionals
Sanmina,20.3,White_female,Professionals
Pinterest,20.5,White_female,Professionals
23andMe,21.9,White_female,Professionals
HP Inc.,22.8,White_female,Professionals
Lyft,22.8,White_female,Professionals
HPE,23.1,White_female,Professionals
HPE,4.9,Asian_female,Professionals
HP Inc.,6.1,Asian_female,Professionals
Sanmina,8.8,Asian_female,Professionals
Lyft,9.4,Asian_female,Professionals
NetApp,10.2,Asian_female,Professionals
Uber,10.5,Asian_female,Professionals
Salesforce,10.8,Asian_female,Professionals
Google,10.9,Asian_female,Professionals
Square,11.4,Asian_female,Professionals
Twitter,11.4,Asian_female,Professionals
Apple,11.4,Asian_female,Professionals
Nvidia,11.6,Asian_female,Professionals
Cisco,12.2,Asian_female,Professionals
View,12.4,Asian_female,Professionals
Adobe,12.9,Asian_female,Professionals
Facebook,13.7,Asian_female,Professionals
Intel,13.8,Asian_female,Professionals
23andMe,14.8,Asian_female,Professionals
Airbnb,15.1,Asian_female,Professionals
PayPal,15.9,Asian_female,Professionals
Pinterest,15.9,Asian_female,Professionals
Intuit,16.1,Asian_female,Professionals
LinkedIn,16.2,Asian_female,Professionals
eBay,17.3,Asian_female,Professionals
MobileIron,22.3,Asian_female,Professionals
Nvidia,0.2,Black_or_African_American_female,Professionals
eBay,0.2,Black_or_African_American_female,Professionals
Apple,0.5,Black_or_African_American_female,Professionals
Square,0.6,Black_or_African_American_female,Professionals
Adobe,0.6,Black_or_African_American_female,Professionals
Google,0.7,Black_or_African_American_female,Professionals
LinkedIn,0.8,Black_or_African_American_female,Professionals
View,0.8,Black_or_African_American_female,Professionals
Salesforce,0.8,Black_or_African_American_female,Professionals
Pinterest,0.9,Black_or_African_American_female,Professionals
Twitter,0.9,Black_or_African_American_female,Professionals
MobileIron,0.9,Black_or_African_American_female,Professionals
Intuit,0.9,Black_or_African_American_female,Professionals
Facebook,0.9,Black_or_African_American_female,Professionals
Uber,0.9,Black_or_African_American_female,Professionals
Intel,1,Black_or_African_American_female,Professionals
NetApp,1.1,Black_or_African_American_female,Professionals
PayPal,1.1,Black_or_African_American_female,Professionals
23andMe,1.2,Black_or_African_American_female,Professionals
Cisco,1.3,Black_or_African_American_female,Professionals
Airbnb,1.4,Black_or_African_American_female,Professionals
Lyft,1.5,Black_or_African_American_female,Professionals
HP Inc.,1.6,Black_or_African_American_female,Professionals
Sanmina,1.9,Black_or_African_American_female,Professionals
HPE,2.8,Black_or_African_American_female,Professionals
View,0,Hispanic_or_Latino_female,Professionals
Nvidia,0.5,Hispanic_or_Latino_female,Professionals
eBay,1.2,Hispanic_or_Latino_female,Professionals
Uber,1.2,Hispanic_or_Latino_female,Professionals
Google,1.2,Hispanic_or_Latino_female,Professionals
Salesforce,1.3,Hispanic_or_Latino_female,Professionals
Cisco,1.3,Hispanic_or_Latino_female,Professionals
Twitter,1.4,Hispanic_or_Latino_female,Professionals
Square,1.4,Hispanic_or_Latino_female,Professionals
PayPal,1.5,Hispanic_or_Latino_female,Professionals
NetApp,1.5,Hispanic_or_Latino_female,Professionals
Facebook,1.6,Hispanic_or_Latino_female,Professionals
Apple,1.6,Hispanic_or_Latino_female,Professionals
MobileIron,1.6,Hispanic_or_Latino_female,Professionals
Intel,1.7,Hispanic_or_Latino_female,Professionals
Pinterest,1.8,Hispanic_or_Latino_female,Professionals
HPE,1.8,Hispanic_or_Latino_female,Professionals
Adobe,2,Hispanic_or_Latino_female,Professionals
Intuit,2,Hispanic_or_Latino_female,Professionals
LinkedIn,2.2,Hispanic_or_Latino_female,Professionals
HP Inc.,2.6,Hispanic_or_Latino_female,Professionals
Sanmina,2.6,Hispanic_or_Latino_female,Professionals
Lyft,2.8,Hispanic_or_Latino_female,Professionals
Airbnb,2.9,Hispanic_or_Latino_female,Professionals
23andMe,3,Hispanic_or_Latino_female,Professionals
HPE,10,Women_of_color,Professionals
HP Inc.,10.7,Women_of_color,Professionals
Nvidia,12.5,Women_of_color,Professionals
View,13.2,Women_of_color,Professionals
NetApp,13.4,Women_of_color,Professionals
Uber,13.5,Women_of_color,Professionals
Google,13.6,Women_of_color,Professionals
Sanmina,13.8,Women_of_color,Professionals
Salesforce,14,Women_of_color,Professionals
Apple,14.1,Women_of_color,Professionals
Square,14.6,Women_of_color,Professionals
Lyft,14.8,Women_of_color,Professionals
Twitter,14.9,Women_of_color,Professionals
Cisco,15.2,Women_of_color,Professionals
Adobe,16.2,Women_of_color,Professionals
Facebook,17.2,Women_of_color,Professionals
Intel,17.5,Women_of_color,Professionals
PayPal,18.8,Women_of_color,Professionals
eBay,19.1,Women_of_color,Professionals
23andMe,20.1,Women_of_color,Professionals
LinkedIn,20.1,Women_of_color,Professionals
Intuit,20.3,Women_of_color,Professionals
Pinterest,20.3,Women_of_color,Professionals
Airbnb,20.4,Women_of_color,Professionals
MobileIron,25.4,Women_of_color,Professionals
View,0.8,Underrepresented_minorities_female,Professionals
Nvidia,0.9,Underrepresented_minorities_female,Professionals
eBay,1.8,Underrepresented_minorities_female,Professionals
Google,2.6,Underrepresented_minorities_female,Professionals
Apple,2.7,Underrepresented_minorities_female,Professionals
PayPal,2.9,Underrepresented_minorities_female,Professionals
Cisco,3,Underrepresented_minorities_female,Professionals
Uber,3,Underrepresented_minorities_female,Professionals
MobileIron,3.1,Underrepresented_minorities_female,Professionals
NetApp,3.1,Underrepresented_minorities_female,Professionals
Adobe,3.2,Underrepresented_minorities_female,Professionals
Salesforce,3.2,Underrepresented_minorities_female,Professionals
Square,3.3,Underrepresented_minorities_female,Professionals
Facebook,3.5,Underrepresented_minorities_female,Professionals
Twitter,3.6,Underrepresented_minorities_female,Professionals
Intel,3.7,Underrepresented_minorities_female,Professionals
LinkedIn,3.9,Underrepresented_minorities_female,Professionals
Intuit,4.2,Underrepresented_minorities_female,Professionals
Pinterest,4.4,Underrepresented_minorities_female,Professionals
HP Inc.,4.7,Underrepresented_minorities_female,Professionals
Sanmina,4.9,Underrepresented_minorities_female,Professionals
HPE,5.1,Underrepresented_minorities_female,Professionals
23andMe,5.3,Underrepresented_minorities_female,Professionals
Airbnb,5.3,Underrepresented_minorities_female,Professionals
Lyft,5.4,Underrepresented_minorities_female,Professionals
HP Inc.,27.6,People_of_color,Professionals
HPE,29,People_of_color,Professionals
Sanmina,32.6,People_of_color,Professionals
Square,39.9,People_of_color,Professionals
NetApp,41.7,People_of_color,Professionals
23andMe,42,People_of_color,Professionals
Salesforce,42.6,People_of_color,Professionals
Lyft,42.8,People_of_color,Professionals
Adobe,42.9,People_of_color,Professionals
Twitter,46.1,People_of_color,Professionals
Google,46.5,People_of_color,Professionals
View,47.3,People_of_color,Professionals
Uber,49.5,People_of_color,Professionals
Apple,49.8,People_of_color,Professionals
Airbnb,50.1,People_of_color,Professionals
Intuit,51.8,People_of_color,Professionals
Cisco,52.6,People_of_color,Professionals
Facebook,53,People_of_color,Professionals
Pinterest,54,People_of_color,Professionals
MobileIron,54.9,People_of_color,Professionals
LinkedIn,55.8,People_of_color,Professionals
Intel,56.1,People_of_color,Professionals
PayPal,56.3,People_of_color,Professionals
Nvidia,58.9,People_of_color,Professionals
eBay,62.4,People_of_color,Professionals
eBay,4.4,Underrepresented_minorities,Professionals
Nvidia,4.4,Underrepresented_minorities,Professionals
MobileIron,7.5,Underrepresented_minorities,Professionals
Adobe,7.8,Underrepresented_minorities,Professionals
PayPal,8,Underrepresented_minorities,Professionals
Apple,8.3,Underrepresented_minorities,Professionals
Google,8.7,Underrepresented_minorities,Professionals
Uber,8.7,Underrepresented_minorities,Professionals
Salesforce,8.9,Underrepresented_minorities,Professionals
Facebook,9.2,Underrepresented_minorities,Professionals
LinkedIn,9.3,Underrepresented_minorities,Professionals
NetApp,9.4,Underrepresented_minorities,Professionals
Square,9.4,Underrepresented_minorities,Professionals
Twitter,9.5,Underrepresented_minorities,Professionals
Cisco,9.6,Underrepresented_minorities,Professionals
Pinterest,10.2,Underrepresented_minorities,Professionals
Airbnb,10.5,Underrepresented_minorities,Professionals
Intuit,10.8,Underrepresented_minorities,Professionals
HP Inc.,11.4,Underrepresented_minorities,Professionals
Intel,11.8,Underrepresented_minorities,Professionals
Sanmina,12.3,Underrepresented_minorities,Professionals
View,12.4,Underrepresented_minorities,Professionals
23andMe,13.6,Underrepresented_minorities,Professionals
HPE,13.8,Underrepresented_minorities,Professionals
Lyft,14.2,Underrepresented_minorities,Professionals
23andMe,0,Hispanic_or_Latino,Executives
View,0,Hispanic_or_Latino,Executives
Twitter,0,Hispanic_or_Latino,Executives
Square,0,Hispanic_or_Latino,Executives
Pinterest,0,Hispanic_or_Latino,Executives
MobileIron,0,Hispanic_or_Latino,Executives
Lyft,0,Hispanic_or_Latino,Executives
Google,0,Hispanic_or_Latino,Executives
Intel,0.9,Hispanic_or_Latino,Executives
Uber,1.4,Hispanic_or_Latino,Executives
Apple,1.9,Hispanic_or_Latino,Executives
Intuit,1.9,Hispanic_or_Latino,Executives
Nvidia,2.1,Hispanic_or_Latino,Executives
Cisco,2.6,Hispanic_or_Latino,Executives
NetApp,2.8,Hispanic_or_Latino,Executives
eBay,2.9,Hispanic_or_Latino,Executives
Airbnb,3.1,Hispanic_or_Latino,Executives
Adobe,3.2,Hispanic_or_Latino,Executives
Facebook,3.2,Hispanic_or_Latino,Executives
HPE,3.2,Hispanic_or_Latino,Executives
Sanmina,3.3,Hispanic_or_Latino,Executives
Salesforce,3.4,Hispanic_or_Latino,Executives
LinkedIn,3.7,Hispanic_or_Latino,Executives
PayPal,5.5,Hispanic_or_Latino,Executives
HP Inc.,6.2,Hispanic_or_Latino,Executives
Pinterest,50,White,Executives
View,58.8,White,Executives
MobileIron,60,White,Executives
LinkedIn,62,White,Executives
Nvidia,64.6,White,Executives
Airbnb,68,White,Executives
Twitter,68.1,White,Executives
Facebook,70.2,White,Executives
Uber,72.5,White,Executives
Cisco,72.6,White,Executives
Intuit,74.8,White,Executives
NetApp,75,White,Executives
Adobe,76.3,White,Executives
eBay,77.1,White,Executives
Google,77.4,White,Executives
PayPal,79.1,White,Executives
Intel,80.2,White,Executives
Salesforce,81,White,Executives
Sanmina,82,White,Executives
Apple,82.2,White,Executives
HP Inc.,82.9,White,Executives
HPE,85,White,Executives
Lyft,86.7,White,Executives
Square,90.9,White,Executives
23andMe,94.1,White,Executives
23andMe,0,Black_or_African_American,Executives
View,0,Black_or_African_American,Executives
Twitter,0,Black_or_African_American,Executives
Square,0,Black_or_African_American,Executives
Salesforce,0,Black_or_African_American,Executives
Pinterest,0,Black_or_African_American,Executives
MobileIron,0,Black_or_African_American,Executives
Adobe,0,Black_or_African_American,Executives
Nvidia,0.4,Black_or_African_American,Executives
LinkedIn,0.6,Black_or_African_American,Executives
Intuit,1,Black_or_African_American,Executives
Uber,1.4,Black_or_African_American,Executives
HP Inc.,1.4,Black_or_African_American,Executives
Sanmina,1.6,Black_or_African_American,Executives
HPE,1.7,Black_or_African_American,Executives
Cisco,2,Black_or_African_American,Executives
Airbnb,2.1,Black_or_African_American,Executives
Apple,2.8,Black_or_African_American,Executives
Intel,2.8,Black_or_African_American,Executives
eBay,2.9,Black_or_African_American,Executives
Google,3.2,Black_or_African_American,Executives
PayPal,3.3,Black_or_African_American,Executives
Facebook,3.4,Black_or_African_American,Executives
Lyft,6.7,Black_or_African_American,Executives
NetApp,8.3,Black_or_African_American,Executives
23andMe,5.9,Asian,Executives
Lyft,6.7,Asian,Executives
HP Inc.,9,Asian,Executives
Square,9.1,Asian,Executives
HPE,9.5,Asian,Executives
PayPal,9.9,Asian,Executives
NetApp,11.1,Asian,Executives
Apple,13.1,Asian,Executives
Sanmina,13.1,Asian,Executives
Salesforce,13.9,Asian,Executives
eBay,15.7,Asian,Executives
Intel,16,Asian,Executives
Adobe,19.4,Asian,Executives
Google,19.4,Asian,Executives
Intuit,20.4,Asian,Executives
Facebook,21,Asian,Executives
Cisco,21.5,Asian,Executives
Uber,23.2,Asian,Executives
Airbnb,24.7,Asian,Executives
Pinterest,25,Asian,Executives
Twitter,29.8,Asian,Executives
LinkedIn,31,Asian,Executives
Nvidia,32.2,Asian,Executives
MobileIron,33.3,Asian,Executives
View,35.3,Asian,Executives
Sanmina,8.2,Female_total,Executives
View,8.8,Female_total,Executives
Nvidia,11.5,Female_total,Executives
Pinterest,12.5,Female_total,Executives
Google,12.9,Female_total,Executives
Intel,13.2,Female_total,Executives
HPE,17.2,Female_total,Executives
Apple,18.7,Female_total,Executives
Adobe,19.4,Female_total,Executives
MobileIron,20,Female_total,Executives
Lyft,20,Female_total,Executives
Cisco,20.5,Female_total,Executives
PayPal,24.2,Female_total,Executives
Salesforce,24.5,Female_total,Executives
HP Inc.,24.8,Female_total,Executives
NetApp,25,Female_total,Executives
Uber,26.8,Female_total,Executives
Twitter,27.7,Female_total,Executives
Facebook,28,Female_total,Executives
Intuit,29.1,Female_total,Executives
Airbnb,29.9,Female_total,Executives
eBay,31.4,Female_total,Executives
Square,36.4,Female_total,Executives
LinkedIn,36.8,Female_total,Executives
23andMe,47.1,Female_total,Executives
Pinterest,0,White_female,Executives
View,2.9,White_female,Executives
Sanmina,5.7,White_female,Executives
Nvidia,6.8,White_female,Executives
NetApp,8.3,White_female,Executives
Intel,10.4,White_female,Executives
Google,12.9,White_female,Executives
MobileIron,13.3,White_female,Executives
Apple,14,White_female,Executives
Cisco,14.3,White_female,Executives
HPE,14.5,White_female,Executives
Twitter,14.9,White_female,Executives
Adobe,16.1,White_female,Executives
PayPal,18.7,White_female,Executives
Facebook,19,White_female,Executives
Salesforce,19,White_female,Executives
Uber,19.6,White_female,Executives
Lyft,20,White_female,Executives
Airbnb,20.6,White_female,Executives
HP Inc.,21,White_female,Executives
LinkedIn,23,White_female,Executives
Intuit,23.3,White_female,Executives
eBay,24.3,White_female,Executives
Square,36.4,White_female,Executives
23andMe,41.2,White_female,Executives
Google,0,Asian_female,Executives
Lyft,0,Asian_female,Executives
Pinterest,0,Asian_female,Executives
Square,0,Asian_female,Executives
PayPal,1.1,Asian_female,Executives
HP Inc.,1.4,Asian_female,Executives
HPE,1.7,Asian_female,Executives
Intel,1.9,Asian_female,Executives
Sanmina,2.5,Asian_female,Executives
Adobe,3.2,Asian_female,Executives
Apple,3.7,Asian_female,Executives
Salesforce,3.8,Asian_female,Executives
Nvidia,3.8,Asian_female,Executives
Intuit,3.9,Asian_female,Executives
Cisco,4.2,Asian_female,Executives
Uber,4.3,Asian_female,Executives
eBay,5.7,Asian_female,Executives
23andMe,5.9,Asian_female,Executives
View,5.9,Asian_female,Executives
Facebook,6,Asian_female,Executives
MobileIron,6.7,Asian_female,Executives
Airbnb,8.2,Asian_female,Executives
NetApp,8.3,Asian_female,Executives
LinkedIn,10.1,Asian_female,Executives
Twitter,12.8,Asian_female,Executives
23andMe,0,Black_or_African_American_female,Executives
Adobe,0,Black_or_African_American_female,Executives
Airbnb,0,Black_or_African_American_female,Executives
Google,0,Black_or_African_American_female,Executives
Intuit,0,Black_or_African_American_female,Executives
Lyft,0,Black_or_African_American_female,Executives
MobileIron,0,Black_or_African_American_female,Executives
Pinterest,0,Black_or_African_American_female,Executives
Salesforce,0,Black_or_African_American_female,Executives
Sanmina,0,Black_or_African_American_female,Executives
Square,0,Black_or_African_American_female,Executives
Twitter,0,Black_or_African_American_female,Executives
View,0,Black_or_African_American_female,Executives
LinkedIn,0.3,Black_or_African_American_female,Executives
Nvidia,0.4,Black_or_African_American_female,Executives
HPE,0.7,Black_or_African_American_female,Executives
Uber,0.7,Black_or_African_American_female,Executives
Cisco,0.7,Black_or_African_American_female,Executives
Facebook,0.8,Black_or_African_American_female,Executives
Apple,0.9,Black_or_African_American_female,Executives
Intel,0.9,Black_or_African_American_female,Executives
HP Inc.,1,Black_or_African_American_female,Executives
eBay,1.4,Black_or_African_American_female,Executives
PayPal,2.2,Black_or_African_American_female,Executives
NetApp,2.8,Black_or_African_American_female,Executives
23andMe,0,Hispanic_or_Latino_female,Executives
eBay,0,Hispanic_or_Latino_female,Executives
View,0,Hispanic_or_Latino_female,Executives
Twitter,0,Hispanic_or_Latino_female,Executives
Sanmina,0,Hispanic_or_Latino_female,Executives
Pinterest,0,Hispanic_or_Latino_female,Executives
MobileIron,0,Hispanic_or_Latino_female,Executives
Lyft,0,Hispanic_or_Latino_female,Executives
Intuit,0,Hispanic_or_Latino_female,Executives
Intel,0,Hispanic_or_Latino_female,Executives
Google,0,Hispanic_or_Latino_female,Executives
Apple,0,Hispanic_or_Latino_female,Executives
Adobe,0,Hispanic_or_Latino_female,Executives
Square,0,Hispanic_or_Latino_female,Executives
HPE,0.2,Hispanic_or_Latino_female,Executives
Nvidia,0.4,Hispanic_or_Latino_female,Executives
Airbnb,1,Hispanic_or_Latino_female,Executives
Cisco,1.3,Hispanic_or_Latino_female,Executives
Salesforce,1.3,Hispanic_or_Latino_female,Executives
Uber,1.4,Hispanic_or_Latino_female,Executives
HP Inc.,1.4,Hispanic_or_Latino_female,Executives
Facebook,1.4,Hispanic_or_Latino_female,Executives
PayPal,2.2,Hispanic_or_Latino_female,Executives
LinkedIn,2.5,Hispanic_or_Latino_female,Executives
NetApp,2.8,Hispanic_or_Latino_female,Executives
Google,0,Women_of_color,Executives
Lyft,0,Women_of_color,Executives
Square,0,Women_of_color,Executives
Sanmina,2.5,Women_of_color,Executives
HPE,2.7,Women_of_color,Executives
Intel,2.8,Women_of_color,Executives
Adobe,3.2,Women_of_color,Executives
HP Inc.,3.8,Women_of_color,Executives
Apple,4.7,Women_of_color,Executives
Nvidia,4.7,Women_of_color,Executives
Salesforce,5.5,Women_of_color,Executives
PayPal,5.5,Women_of_color,Executives
Intuit,5.8,Women_of_color,Executives
View,5.9,Women_of_color,Executives
23andMe,5.9,Women_of_color,Executives
Cisco,6.2,Women_of_color,Executives
MobileIron,6.7,Women_of_color,Executives
eBay,7.1,Women_of_color,Executives
Uber,7.2,Women_of_color,Executives
Facebook,9.1,Women_of_color,Executives
Airbnb,9.3,Women_of_color,Executives
Pinterest,12.5,Women_of_color,Executives
Twitter,12.8,Women_of_color,Executives
LinkedIn,13.8,Women_of_color,Executives
NetApp,16.7,Women_of_color,Executives
23andMe,0,Underrepresented_minorities_female,Executives
View,0,Underrepresented_minorities_female,Executives
Twitter,0,Underrepresented_minorities_female,Executives
Square,0,Underrepresented_minorities_female,Executives
Sanmina,0,Underrepresented_minorities_female,Executives
MobileIron,0,Underrepresented_minorities_female,Executives
Lyft,0,Underrepresented_minorities_female,Executives
Google,0,Underrepresented_minorities_female,Executives
Adobe,0,Underrepresented_minorities_female,Executives
Nvidia,0.9,Underrepresented_minorities_female,Executives
Apple,0.9,Underrepresented_minorities_female,Executives
Intel,0.9,Underrepresented_minorities_female,Executives
HPE,1,Underrepresented_minorities_female,Executives
Airbnb,1,Underrepresented_minorities_female,Executives
eBay,1.4,Underrepresented_minorities_female,Executives
Salesforce,1.7,Underrepresented_minorities_female,Executives
Intuit,1.9,Underrepresented_minorities_female,Executives
Cisco,2,Underrepresented_minorities_female,Executives
HP Inc.,2.4,Underrepresented_minorities_female,Executives
Uber,2.9,Underrepresented_minorities_female,Executives
Facebook,3,Underrepresented_minorities_female,Executives
LinkedIn,3.7,Underrepresented_minorities_female,Executives
PayPal,4.4,Underrepresented_minorities_female,Executives
NetApp,8.3,Underrepresented_minorities_female,Executives
Pinterest,12.5,Underrepresented_minorities_female,Executives
23andMe,5.9,People_of_color,Executives
Square,9.1,People_of_color,Executives
Lyft,13.3,People_of_color,Executives
HPE,15,People_of_color,Executives
HP Inc.,17.1,People_of_color,Executives
Apple,17.8,People_of_color,Executives
Sanmina,18,People_of_color,Executives
Salesforce,19,People_of_color,Executives
Intel,19.8,People_of_color,Executives
PayPal,20.9,People_of_color,Executives
Google,22.6,People_of_color,Executives
eBay,22.9,People_of_color,Executives
Adobe,23.7,People_of_color,Executives
NetApp,25,People_of_color,Executives
Intuit,25.2,People_of_color,Executives
Cisco,27.4,People_of_color,Executives
Uber,27.5,People_of_color,Executives
Facebook,29.8,People_of_color,Executives
Twitter,31.9,People_of_color,Executives
Airbnb,32,People_of_color,Executives
Nvidia,35.4,People_of_color,Executives
LinkedIn,38,People_of_color,Executives
MobileIron,40,People_of_color,Executives
View,41.2,People_of_color,Executives
Pinterest,50,People_of_color,Executives
Square,0,Underrepresented_minorities,Executives
23andMe,0,Underrepresented_minorities,Executives
Twitter,2.1,Underrepresented_minorities,Executives
Nvidia,3.2,Underrepresented_minorities,Executives
Google,3.2,Underrepresented_minorities,Executives
Intel,3.8,Underrepresented_minorities,Executives
Uber,4.3,Underrepresented_minorities,Executives
Adobe,4.3,Underrepresented_minorities,Executives
Apple,4.7,Underrepresented_minorities,Executives
Sanmina,4.9,Underrepresented_minorities,Executives
Intuit,4.9,Underrepresented_minorities,Executives
Salesforce,5.1,Underrepresented_minorities,Executives
HPE,5.5,Underrepresented_minorities,Executives
View,5.9,Underrepresented_minorities,Executives
Cisco,5.9,Underrepresented_minorities,Executives
MobileIron,6.7,Underrepresented_minorities,Executives
Lyft,6.7,Underrepresented_minorities,Executives
LinkedIn,7.1,Underrepresented_minorities,Executives
eBay,7.1,Underrepresented_minorities,Executives
Airbnb,7.2,Underrepresented_minorities,Executives
HP Inc.,8.1,Underrepresented_minorities,Executives
Facebook,8.9,Underrepresented_minorities,Executives
PayPal,11,Underrepresented_minorities,Executives
NetApp,13.9,Underrepresented_minorities,Executives
Pinterest,25,Underrepresented_minorities,Executives
Nvidia,3.4,Hispanic_or_Latino,All Workers
Pinterest,3.7,Hispanic_or_Latino,All Workers
Salesforce,3.9,Hispanic_or_Latino,All Workers
NetApp,4.1,Hispanic_or_Latino,All Workers
eBay,4.3,Hispanic_or_Latino,All Workers
View,4.3,Hispanic_or_Latino,All Workers
Facebook,4.5,Hispanic_or_Latino,All Workers
Twitter,4.5,Hispanic_or_Latino,All Workers
Adobe,4.7,Hispanic_or_Latino,All Workers
LinkedIn,4.7,Hispanic_or_Latino,All Workers
Uber,4.8,Hispanic_or_Latino,All Workers
Cisco,5.1,Hispanic_or_Latino,All Workers
